projectName, groupId, averageLine, variantComplex, distributionComplex, contextComplex, syntacticComplex, instanceNumber
,607,0.9289617486338798,1.0,1.0,0.0,0.0,2
,849,0.9617486338797814,1.0,0.0,0.0,0.0,2
,608,0.9344262295081968,1.0,0.8112781244591328,0.43067655807339306,0.0,4
,609,0.8797814207650273,1.0,1.0,0.0,0.0,2
,1044,0.9289617486338798,1.0,1.0,0.0,0.0,2
,1043,0.9508196721311475,1.0,0.9182958340544896,0.3954884891037233,0.0,3
,1042,0.9398907103825137,1.0,1.0,0.0,0.905712598013837,2
,1041,0.8469945355191257,1.0,0.0,0.0,0.0,2
,1040,0.8142076502732241,1.0,0.0,0.0,0.0,2
,1039,0.8907103825136612,1.0,0.0,0.0,0.0,3
,850,0.9453551912568307,1.0,0.0,0.0,0.0,2
,1038,0.9562841530054644,1.0,0.0,0.0,0.6021808102656677,3
,851,0.9508196721311475,1.0,0.0,0.0,0.0,3
,1037,0.8360655737704918,1.0,0.0,0.0,0.0,2
,610,0.9398907103825137,1.0,1.0,0.0,0.0,2
,852,0.9398907103825137,1.0,0.0,0.0,0.0,2
,1036,0.9508196721311475,1.0,0.0,0.0,0.5152734452350943,3
,611,0.912568306010929,1.0,0.0,0.0,0.0,3
,853,0.9562841530054644,1.0,0.0,0.0,0.0,2
,1035,0.9344262295081968,1.0,0.0,0.0,0.0,2
,612,0.9508196721311475,1.0,1.0,0.0,0.48215936096968093,2
,854,0.8306010928961749,1.0,0.0,0.0,0.0,2
,1034,0.9508196721311475,1.0,1.0,0.0,0.6853870929104106,2
,613,0.9180327868852459,1.0,0.0,0.0,0.0,2
,855,0.9672131147540983,0.0,1.0,0.0,0.579380164285695,2
,614,0.8961748633879781,1.0,0.0,0.0,0.0,3
,856,0.9398907103825137,1.0,1.0,0.0,0.0,2
,615,0.7759562841530054,1.0,1.0,0.0,0.0,2
,857,0.8852459016393442,1.0,1.0,0.0,0.6444666452025871,2
,616,0.9672131147540983,1.0,1.0,0.0,0.0,2
,858,0.9398907103825137,1.0,1.0,0.0,0.0,2
,617,0.8907103825136612,1.0,0.0,0.0,0.0,2
,859,0.9289617486338798,1.0,0.0,0.0,0.0,2
,618,0.9453551912568307,1.0,0.0,0.0,0.0,2
,619,0.9016393442622951,1.0,0.0,0.0,0.2610893633857883,2
,1055,0.912568306010929,1.0,0.0,0.0,0.0,2
,1054,0.9180327868852459,1.0,0.0,0.0,0.0,3
,1053,0.9234972677595629,1.0,0.0,0.0,0.0,3
,1052,0.8743169398907104,1.0,0.0,0.0,0.7827759528141421,2
,1051,0.9234972677595629,1.0,1.0,0.0,0.0,2
,1050,0.9453551912568307,1.0,1.0,0.0,0.9821410328348752,2
,860,0.9562841530054644,0.0,0.0,0.0,0.0,3
,861,0.9562841530054644,0.0,0.0,0.0,0.0,2
,1049,0.7814207650273224,1.0,1.0,0.0,0.0,2
,620,0.9016393442622951,1.0,0.0,0.0,0.0,2
,862,0.9617486338797814,0.0,0.0,0.0,0.0,4
,1048,0.6721311475409837,1.0,1.0,0.0,0.7253697721503475,2
,621,0.8743169398907104,1.0,0.0,0.0,0.0,3
,863,0.907103825136612,1.0,0.0,0.0,0.39078665545522084,2
,1047,0.8743169398907104,1.0,1.0,0.0,0.6097630879642211,3
,622,0.9617486338797814,1.0,0.0,0.0,0.0,3
,864,0.9672131147540983,0.0,1.0,0.0,0.0,2
,1046,0.9617486338797814,1.0,1.0,0.0,0.9463946303571862,2
,623,0.9508196721311475,1.0,0.0,0.0,0.0,2
,865,0.8743169398907104,1.0,0.0,0.0,0.0,2
,1045,0.9289617486338798,1.0,1.0,0.3954884891037233,0.0,4
,624,0.9398907103825137,1.0,0.0,0.0,0.0,2
,866,0.8688524590163934,1.0,0.0,0.0,0.0,2
,625,0.7978142076502732,1.0,0.0,0.0,0.0,2
,867,0.9180327868852459,1.0,0.0,0.0,0.0,2
,626,0.7923497267759563,0.0,1.0,0.0,0.43291288155725993,2
,868,0.907103825136612,1.0,0.0,0.0,0.0,2
,627,0.9289617486338798,1.0,1.0,0.0,0.9018972358711527,2
,869,0.8306010928961749,1.0,0.0,0.0,0.3175206571427802,2
,628,0.9234972677595629,1.0,1.0,0.0,0.8699155297736259,2
,629,0.8743169398907104,0.0,1.0,0.0,0.9526230661652662,2
