projName,groupId,vComplexity,dComplexity,crComplexity,sComplexity,insNumber,domain,cloneClass
,852,1.0,0.0,0.0,0.0,2,,2
,1036,1.0,0.0,0.0,0.5152734452350943,3,,3
,611,1.0,0.0,0.0,0.0,3,,3
,853,1.0,0.0,0.0,0.0,2,,2
,1035,1.0,0.0,0.0,0.0,2,,2
,612,1.0,1.0,0.0,0.48215936096968093,2,,2
,854,1.0,0.0,0.0,0.0,2,,2
,1034,1.0,1.0,0.0,0.6853870929104106,2,,3
,613,1.0,0.0,0.0,0.0,2,,2
,855,0.0,1.0,0.0,0.579380164285695,2,,2
,614,1.0,0.0,0.0,0.0,3,,3
,856,1.0,1.0,0.0,0.0,2,,2
,615,1.0,1.0,0.0,0.0,2,,2
,857,1.0,1.0,0.0,0.6444666452025871,2,,3
,616,1.0,1.0,0.0,0.0,2,,2
,858,1.0,1.0,0.0,0.0,2,,2
,617,1.0,0.0,0.0,0.0,2,,2
,859,1.0,0.0,0.0,0.0,2,,2
,618,1.0,0.0,0.0,0.0,2,,2
,619,1.0,0.0,0.0,0.2610893633857883,2,,2
,1055,1.0,0.0,0.0,0.0,2,,2
,1054,1.0,0.0,0.0,0.0,3,,3
,1053,1.0,0.0,0.0,0.0,3,,3
,1052,1.0,0.0,0.0,0.7827759528141421,2,,3
,1051,1.0,1.0,0.0,0.0,2,,2
,1050,1.0,1.0,0.0,0.9821410328348752,2,,3
,860,0.0,0.0,0.0,0.0,3,,1
,861,0.0,0.0,0.0,0.0,2,,1
,1049,1.0,1.0,0.0,0.0,2,,2
,620,1.0,0.0,0.0,0.0,2,,2
,862,0.0,0.0,0.0,0.0,4,,1
,1048,1.0,1.0,0.0,0.7253697721503475,2,,3
,621,1.0,0.0,0.0,0.0,3,,3
,863,1.0,0.0,0.0,0.39078665545522084,2,,2
,1047,1.0,1.0,0.0,0.6097630879642211,3,,3
,622,1.0,0.0,0.0,0.0,3,,3
,864,0.0,1.0,0.0,0.0,2,,2
,1046,1.0,1.0,0.0,0.9463946303571862,2,,3
,623,1.0,0.0,0.0,0.0,2,,2
,865,1.0,0.0,0.0,0.0,2,,2
,1045,1.0,1.0,0.3954884891037233,0.0,4,,3
,624,1.0,0.0,0.0,0.0,2,,2
,866,1.0,0.0,0.0,0.0,2,,2
,625,1.0,0.0,0.0,0.0,2,,2
,867,1.0,0.0,0.0,0.0,2,,2
,626,0.0,1.0,0.0,0.43291288155725993,2,,2
,868,1.0,0.0,0.0,0.0,2,,2
,627,1.0,1.0,0.0,0.9018972358711527,2,,3
,869,1.0,0.0,0.0,0.3175206571427802,2,,2
,628,1.0,1.0,0.0,0.8699155297736259,2,,3
,629,0.0,1.0,0.0,0.9526230661652662,2,,3
,1066,1.0,1.0,0.0,1.0,2,,3
,1065,0.9852281360342516,0.9751060324573735,0.25481959578555763,0.6309297535714574,7,,3
,1064,0.9881090915741203,0.9533522741071692,0.14205697021084857,0.6309297535714574,12,,3
,1063,1.0,0.0,0.0,0.0,2,,2
,1062,1.0,1.0,0.3954884891037233,0.0,4,,3
,1061,1.0,0.0,0.0,0.0,2,,2
,1060,1.0,1.0,0.0,0.0,2,,2
,870,1.0,0.0,0.0,0.29590327428938457,2,,2
,871,1.0,0.0,0.0,0.0,2,,2
,630,0.0,1.0,0.0,0.9713067383178076,2,,3
,872,1.0,0.0,0.0,0.0,3,,3
,1059,1.0,1.0,0.42810551009986264,0.0,12,,3
,631,0.0,1.0,0.0,0.726844631409708,2,,3
,873,1.0,0.0,0.0,0.0,3,,3
,1058,1.0000000000000002,0.9640787648082292,0.43066328669575205,0.0,18,,3
,632,0.0,1.0,0.0,0.0,2,,2
,874,1.0,0.0,0.0,0.0,3,,3
,1057,1.0,0.9182958340544896,0.3954884891037233,0.0,3,,3
,633,0.0,1.0,0.0,0.8173454221465102,2,,3
,875,1.0,0.0,0.0,0.0,5,,3
,634,1.0,1.0,0.0,0.6625897014816776,2,,3
,876,1.0,0.0,0.0,0.0,2,,2
,1056,1.0,0.0,0.0,0.0,3,,3
,635,0.0,1.0,0.0,0.3175206571427802,2,,2
,877,0.0,1.0,0.0,0.41011848630651804,2,,2
,636,0.0,1.0,0.0,0.5462947022805017,2,,2
,878,1.0,1.0,0.0,0.6975637594191427,2,,3
,637,0.0,1.0,0.0,0.7799245905108307,2,,3
,879,1.0,0.9602297178607611,0.31091750708257115,0.0,5,,3
,638,0.0,1.0,0.0,0.41011848630651804,2,,2
,639,1.0,1.0,0.4181656600790516,0.24684720518702508,6,,3
,1077,1.0,0.9182958340544896,0.3954884891037233,0.9755307720176265,3,,3
,1076,1.0,1.0,0.0,0.7896900821428474,2,,3
,1075,0.0,1.0,0.0,0.0,2,,2
,1074,1.0,1.0,0.0,0.0,2,,2
,1073,1.0,0.0,0.31091750708257115,0.9463946303571862,5,,3
,1072,1.0,0.0,0.0,0.9463946303571862,2,,3
,1071,1.0,0.9463946303571862,0.5390473417948544,0.0,4,,3
,1070,0.9182958340544896,1.0,0.0,0.9463946303571862,3,,3
,880,0.0,1.0,0.0,0.9821410328348752,2,,3
,881,0.0,1.0,0.0,0.8136524099222412,2,,3
,640,0.0,1.0,0.0,0.8263230812990678,2,,3
,882,0.0,1.0,0.0,0.9821410328348752,2,,3
,641,0.0,1.0,0.0,0.7343962125424431,2,,3
,883,0.9182958340544896,1.0,0.0,0.625418115623811,3,,3
,400,0.9182958340544896,1.0,0.0,0.0,3,,3
,642,0.0,1.0,0.0,0.6971862088918521,2,,3
,884,0.0,1.0,0.0,0.7669160827649908,2,,3
,401,0.0,1.0,0.0,0.0,2,,2
,643,0.9182958340544896,1.0,0.0,0.5816718657178868,3,,3
,885,1.0,1.0,0.3954884891037233,0.9821410328348752,4,,3
,1069,1.0,0.0,0.0,0.6126016192893442,3,,3
,402,1.0,1.0,0.0,0.7195974817108705,2,,3
,644,0.0,1.0,0.0,0.0,2,,2
,886,0.0,1.0,0.0,0.6961094714265039,2,,3
,1068,1.0,0.0,0.0,0.0,2,,2
,403,0.0,1.0,0.0,0.0,2,,2
,645,1.0,1.0,0.0,0.5854069251508158,2,,2
,887,1.0,1.0,0.0,0.0,2,,2
,1067,1.0,0.0,0.0,0.0,2,,2
,404,1.0,1.0,0.0,0.858672711073255,2,,3
,646,0.9182958340544896,1.0,0.0,0.97288250263637,3,,3
,888,1.0,1.0,0.0,0.0,2,,2
,889,1.0,1.0,0.0,0.9463946303571862,5,,3
,405,1.0,1.0,0.0,0.7101056374241135,2,,3
,647,0.0,1.0,0.0,0.9543725779839038,2,,3
,406,1.0,1.0,0.0,0.0,4,,3
,648,0.0,1.0,0.0,0.9379607148064744,2,,3
,407,1.0,1.0,0.0,0.9808340377961402,4,,3
,649,0.0,1.0,0.0,0.887092015535129,2,,3
,408,1.0,1.0,0.0,0.8033437314357735,2,,3
,409,1.0,1.0,0.0,0.757839021442451,3,,3
,1080,1.0,0.0,0.0,0.7793577657063837,2,,3
,1088,1.0,1.0,0.3954884891037233,0.0,4,,3
,1087,1.0,0.0,0.0,0.0,3,,3
,1086,1.0,1.0,0.0,0.8699155297736259,2,,3
,1085,1.0,0.0,0.0,0.9262621550953116,3,,3
,1084,1.0,0.0,0.0,0.861245517321247,2,,3
,1083,1.0,0.0,0.0,0.9463946303571862,2,,3
,1082,1.0,0.0,0.0,0.9463946303571862,2,,3
,890,1.0,0.9182958340544896,0.3954884891037233,0.0,3,,3
,1081,1.0,0.0,0.0,0.9139494879931296,2,,3
,891,1.0,0.9182958340544896,0.3954884891037233,0.0,3,,3
,650,1.0,1.0,0.0,0.5854069251508158,2,,2
,892,1.0,1.0,0.0,0.0,2,,2
,651,1.0,1.0,0.0,0.72483409150576,2,,3
,893,1.0,1.0,0.0,0.0,2,,2
,410,0.0,1.0,0.0,0.8699155297736259,2,,3
,652,1.0,1.0,0.0,0.0,2,,2
,894,1.0,1.0,0.0,0.0,2,,2
,411,0.0,1.0,0.0,0.0,2,,2
